Data;Descrizione;Entrata;Uscita;Totale;
03/07/2017;Ricariche Sisal ;15,00;;100,16;
01/07/2017;Fondo cassa ;;70,00;85,16;
01/07/2017;Sim + promo;20,00;;155,16;
01/07/2017;Sim + promo;19,99;;135,16;
01/07/2017;Ricariche Sisal ;10,00;;115,17;
01/07/2017;Rimborso Mirco;;76,00;105,17;
01/07/2017;Fondo cassa ;70,00;;181,17;
30/06/2017;Fondo cassa;;300,00;111,17;
30/06/2017;Tommaso;;50,00;411,17;
30/06/2017;Sim + promo;24,00;;461,17;
30/06/2017;Assistenza cliente;10,00;;437,17;
30/06/2017;Cartucce Hp NERO + COLORE;36,00;;427,17;
30/06/2017;Assistenza cellulare ;15,00;;391,17;
30/06/2017;Sim + promo ;109,00;;376,17;
30/06/2017;Tablet Alcatel PIXI 3 10 pollici ;106,00;;267,17;
30/06/2017;Sim + promo;20,00;;161,17;
30/06/2017;Ricariche Sisal ;30,00;;141,17;
30/06/2017;Sim + promo;22,99;;111,17;
30/06/2017;Sim + promo;22,99;;88,18;
29/06/2017;Fondo cassa;;100,00;65,19;
29/06/2017;Sim + promo ;24,00;;165,19;
29/06/2017;Raccomandata posta ;;13,73;141,19;
29/06/2017;Cartoleria;;2,00;154,92;
29/06/2017;Sim + promo;27,00;;156,92;
29/06/2017;Ricariche Sisal ;70,00;;129,92;
28/06/2017;Fondo cassa;;150,00;59,92;
28/06/2017;Sim + promo;20,00;;209,92;
28/06/2017;Assistenza cellulare;5,00;;189,92;
28/06/2017;Ricariche Sisal;80,00;;184,92;
28/06/2017;Raccomandata posta ;;5,00;104,92;
28/06/2017;Sim + promo;24,00;;109,92;
28/06/2017;Gasolio Nemo Seba ;;30,00;85,92;
27/06/2017;Fondo cassa;;200,00;115,92;
27/06/2017;Sim + promo;109,00;;315,92;
27/06/2017;Sim + promo;34,98;;206,92;
27/06/2017;Ricariche Sisal ;110,00;;171,94;
27/06/2017;Resto ferramenta ;17,50;;61,94;
26/06/2017;Fondo cassa;;100,00;44,44;
26/06/2017;Batteria huawei ;20,00;;144,44;
26/06/2017;Pellicola vetro s6 edge;10,50;;124,44;
26/06/2017;Mouse Logitech;15,00;;113,94;
26/06/2017;Ricariche Sisal;5,00;;98,94;
26/06/2017;Sim + promo;20,00;;93,94;
24/06/2017;Fondo cassa ;;100,00;73,94;
24/06/2017;Sim + promo;109,00;;173,94;
24/06/2017;Ricariche Sisal ;5,00;;64,94;
23/06/2017;Fondo cassa;;40,00;59,94;
23/06/2017;Sim + promo;20,00;;99,94;
23/06/2017;Cavo Usb ;2,00;;79,94;
23/06/2017;Ricariche Sisal ;27,00;;77,94;
23/06/2017;Sim + promo;20,00;;50,94;
23/06/2017;Spedizione 2 pacchi posta ;;18,00;30,94;
23/06/2017;Rimborso Spesa Matteo;;12,47;48,94;
23/06/2017;Benzina Alessio ;;20,00;61,41;
22/06/2017;Sim + promo;24,00;;81,41;
22/06/2017;Benzina c3;;20,00;57,41;
21/06/2017;FONDO CASSA;;50,00;77,41;
21/06/2017;Sim + promo;19,99;;127,41;
21/06/2017;Corriere BRT spedizione pacco;;25,74;107,42;
21/06/2017;Ricariche Sisal ;65,00;;133,16;
20/06/2017;Fondo cassa;;100,00;68,16;
20/06/2017;Cambio Sim;10,00;;168,16;
20/06/2017;Sim + promo;20,00;;158,16;
20/06/2017;Cambio Sim ;10,00;;138,16;
20/06/2017;Ricariche Sisal ;25,00;;128,16;
20/06/2017;Cambio Sim ;10,00;;103,16;
20/06/2017;Mirco sd 32gb ;24,00;;93,16;
20/06/2017;Invio buste posta ;;7,60;69,16;
19/06/2017;Sim + promo;20,00;;76,76;
17/06/2017;Ricariche Sisal;20,00;;56,76;
16/06/2017;Rimborso spese Fabio ;;30,00;36,76;
16/06/2017;Ricarica Fabio ;20,00;;66,76;
16/06/2017;Rimborso Spese Seba;;35,00;46,76;
16/06/2017;Sim + promo;20,00;;81,76;
15/06/2017;Fondo cassa;;70,00;61,76;
15/06/2017;Sim + promo;19,99;;131,76;
15/06/2017;Sim + promo;27,00;;111,77;
15/06/2017;Gasolio Nemo Seba ;;20,00;84,77;
15/06/2017;Ricarica Sisal;35,00;;104,77;
14/06/2017;FONDO CASSA;;280,00;69,77;
14/06/2017;Sim + promo;20,00;;349,77;
14/06/2017;Benzina Silvia;;50,00;329,77;
14/06/2017;Prelievo Silvia;;50,00;379,77;
14/06/2017;Sim + promo;22,99;;429,77;
14/06/2017;Vendita Sim;10,00;;406,78;
14/06/2017;Vendita Hard disk ;130,00;;396,78;
14/06/2017;Vendita Switch ;36,00;;266,78;
14/06/2017;Ricariche Sisal ;40,00;;230,78;
14/06/2017;Sim + promo;109,00;;190,78;
14/06/2017;Vendita micro sd 16 gb ;11,00;;81,78;
14/06/2017;Rimborso spese Fabio ;;2,50;70,78;
13/06/2017;Fondo cassa;;50,00;73,28;
13/06/2017;Rimborso spese Seba;;24,50;123,28;
13/06/2017;Fondo partenza;147,78;;147,78;
